Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Vodič za veličinu;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX6465-S-Bakar-2943;0rx6465-s-2943;2943;0RX6465-2943;Default;Eyewear;Bakar;smeđa;0RX6465;49;2943;RAY-BAN VISTA;146;S;Unisex;Nepravilan;Puni okvir;JACK;Bakar;Metal;49;44;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6487;0rx6487;;0RX6487-2502;Default;Eyewear;Gunmetal;;0RX6487;52;2502;RAY-BAN VISTA;132;M;Unisex;Kvadratni;Poluotvoreni okvir;;Gunmetal;Metal;52;44;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6487-M-Gunmetal-2502;0rx6487-m-2502;2502;0RX6487-2502;Default;Eyewear;Gunmetal;siva;0RX6487;52;2502;RAY-BAN VISTA;132;M;Unisex;Kvadratni;Poluotvoreni okvir;;Gunmetal;Metal;52;44;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6494;0rx6494;;0RX6494-2861,0RX6494-2904,0RX6494-3155;Default;Eyewear;Crna na Srebrna;;0RX6494;54;2861;RAY-BAN VISTA;165;L;Muškarci;Zaobljeni četvrtasti;Puni okvir;;Crna na Srebrna;Metal;54;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6494-L-Crna-na-Srebrna-2861;0rx6494-l-2861;2861;0RX6494-2861;Default;Eyewear;Crna na Srebrna;crna;0RX6494;54;2861;RAY-BAN VISTA;165;L;Muškarci;Zaobljeni četvrtasti;Puni okvir;;Crna na Srebrna;Metal;54;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6494-XL-Crna-2904;0rx6494-xl-2904;2904;0RX6494-2904;Default;Eyewear;Crna;crna;0RX6494;56;2904;RAY-BAN VISTA;165;XL;Muškarci;Zaobljeni četvrtasti;Puni okvir;;Crna;Metal;56;42;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6494-L-Plava-na-srebrnoj-3155;0rx6494-l-3155;3155;0RX6494-3155;Default;Eyewear;Plava na srebrnoj;plava;0RX6494;54;3155;RAY-BAN VISTA;165;L;Muškarci;Zaobljeni četvrtasti;Puni okvir;;Plava na srebrnoj;Metal;54;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6496;0rx6496;;0RX6496-2500,0RX6496-2502;Default;Eyewear;Arista zlatna;;0RX6496;51;2500;RAY-BAN VISTA;146;M;Unisex;Nepravilan;Puni okvir;;Arista zlatna;Metal;51;42;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6496-M-Arista-zlatna-2500;0rx6496-m-2500;2500;0RX6496-2500;Default;Eyewear;Arista zlatna;zlatna;0RX6496;51;2500;RAY-BAN VISTA;146;M;Unisex;Nepravilan;Puni okvir;;Arista zlatna;Metal;51;42;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6496-L-Gunmetal-2502;0rx6496-l-2502;2502;0RX6496-2502;Default;Eyewear;Gunmetal;siva;0RX6496;53;2502;RAY-BAN VISTA;146;L;Unisex;Nepravilan;Puni okvir;;Gunmetal;Metal;53;43;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6503D;0rx6503d;;0RX6503D-2501,0RX6503D-2943;Default;Eyewear;Srebrna;;0RX6503D;55;2501;RAY-BAN VISTA;132;L;Unisex;Nepravilan;Puni okvir;;Srebrna;Metal;55;50;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6503D-L-Srebrna-2501;0rx6503d-l-2501;2501;0RX6503D-2501;Default;Eyewear;Srebrna;srebrna;0RX6503D;55;2501;RAY-BAN VISTA;132;L;Unisex;Nepravilan;Puni okvir;;Srebrna;Metal;55;50;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6503D-L-Bakar-2943;0rx6503d-l-2943;2943;0RX6503D-2943;Default;Eyewear;Bakar;smeđa;0RX6503D;55;2943;RAY-BAN VISTA;132;L;Unisex;Nepravilan;Puni okvir;;Bakar;Metal;55;50;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6509;0rx6509;;0RX6509-2502;Default;Eyewear;Gunmetal;;0RX6509;51;2502;RAY-BAN VISTA;146;M;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;51;45;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6509-M-Gunmetal-2502;0rx6509-m-2502;2502;0RX6509-2502;Default;Eyewear;Gunmetal;siva;0RX6509;51;2502;RAY-BAN VISTA;146;M;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;51;45;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6509-L-Gunmetal-2502;0rx6509-l-2502;2502;0RX6509-2502;Default;Eyewear;Gunmetal;siva;0RX6509;53;2502;RAY-BAN VISTA;146;L;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;53;47;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6512;0rx6512;;0RX6512-2593;Default;Eyewear;Tamnosmeđa;;0RX6512;52;2593;RAY-BAN VISTA;155;S;Unisex;Kvadratni;Puni okvir;;Tamnosmeđa;Metal;52;45;Acetat;140;19;RAY-BAN VISTA;Dioptrijste naočale
0RX6512-S-Tamnosmeda-2593;0rx6512-s-2593;2593;0RX6512-2593;Default;Eyewear;Tamnosmeđa;smeđa;0RX6512;52;2593;RAY-BAN VISTA;155;S;Unisex;Kvadratni;Puni okvir;;Tamnosmeđa;Metal;52;45;Acetat;140;19;RAY-BAN VISTA;Dioptrijste naočale
0RX6513;0rx6513;;0RX6513-3161;Default;Eyewear;Crna;;0RX6513;53;3161;RAY-BAN VISTA;174;L;Unisex;Nepravilan;Poluotvoreni okvir;;Crna;Metal;53;38;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6513-L-Crna-3161;0rx6513-l-3161;3161;0RX6513-3161;Default;Eyewear;Crna;crna;0RX6513;53;3161;RAY-BAN VISTA;174;L;Unisex;Nepravilan;Poluotvoreni okvir;;Crna;Metal;53;38;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6513-XL-Crna-3161;0rx6513-xl-3161;3161;0RX6513-3161;Default;Eyewear;Crna;crna;0RX6513;55;3161;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Poluotvoreni okvir;;Crna;Metal;55;39;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6518;0rx6518;;0RX6518-3163;Default;Eyewear;Crna na Srebrna;;0RX6518;57;3163;RAY-BAN VISTA;174;XXL;Unisex;Kvadratni;Puni okvir;;Crna na Srebrna;Metal;57;42;Metal;150;19;RAY-BAN VISTA;Dioptrijste naočale
0RX6518-XXL-Crna-na-Srebrna-3163;0rx6518-xxl-3163;3163;0RX6518-3163;Default;Eyewear;Crna na Srebrna;crna;0RX6518;57;3163;RAY-BAN VISTA;174;XXL;Unisex;Kvadratni;Puni okvir;;Crna na Srebrna;Metal;57;42;Metal;150;19;RAY-BAN VISTA;Dioptrijste naočale
0RX6528;0rx6528;;0RX6528-2501,0RX6528-2943;Default;Eyewear;Srebrna;;0RX6528;56;2501;RAY-BAN VISTA;125;L;Unisex;Nepravilan;Puni okvir;YEVI;Srebrna;Metal;56;35;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6528-L-Srebrna-2501;0rx6528-l-2501;2501;0RX6528-2501;Default;Eyewear;Srebrna;srebrna;0RX6528;56;2501;RAY-BAN VISTA;125;L;Unisex;Nepravilan;Puni okvir;YEVI;Srebrna;Metal;56;35;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6528-M-Bakar-2943;0rx6528-m-2943;2943;0RX6528-2943;Default;Eyewear;Bakar;smeđa;0RX6528;54;2943;RAY-BAN VISTA;125;M;Unisex;Nepravilan;Puni okvir;YEVI;Bakar;Metal;54;34;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7017;0rx7017;;0RX7017-5196;Default;Eyewear;Crna;;0RX7017;54;5196;RAY-BAN VISTA;155;XL;Unisex;Četvrtasti;Puni okvir;;Crna;Injektirani;54;33;Metal;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX7017-XL-Crna-5196;0rx7017-xl-5196;5196;0RX7017-5196;Default;Eyewear;Crna;crna;0RX7017;54;5196;RAY-BAN VISTA;155;XL;Unisex;Četvrtasti;Puni okvir;;Crna;Injektirani;54;33;Metal;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX7046;0rx7046;;0RX7046-5364,0RX7046-5365;Default;Eyewear;Guma crna;;0RX7046;51;5364;RAY-BAN VISTA;123;S;Žene;Okrugli;Puni okvir;ERIKA;Guma crna;Injektirani;51;44;Injektirani;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7046-S-Guma-crna-5364;0rx7046-s-5364;5364;0RX7046-5364;Default;Eyewear;Guma crna;crna;0RX7046;51;5364;RAY-BAN VISTA;123;S;Žene;Okrugli;Puni okvir;ERIKA;Guma crna;Injektirani;51;44;Injektirani;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7046-S-Havana-5365;0rx7046-s-5365;5365;0RX7046-5365;Default;Eyewear;Havana;smeđa;0RX7046;51;5365;RAY-BAN VISTA;123;S;Žene;Okrugli;Puni okvir;ERIKA;Havana;Injektirani;51;44;Injektirani;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7047;0rx7047;;0RX7047-5450;Default;Eyewear;Transparentna plava;;0RX7047;54;5450;RAY-BAN VISTA;123;M;Unisex;Kvadratni;Puni okvir;;Transparentna plava;Injektirani;54;37;Injektirani;140;17;RAY-BAN VISTA;Dioptrijste naočale
0RX7047-M-Transparentna-plava-5450;0rx7047-m-5450;5450;0RX7047-5450;Default;Eyewear;Transparentna plava;plava;0RX7047;54;5450;RAY-BAN VISTA;123;M;Unisex;Kvadratni;Puni okvir;;Transparentna plava;Injektirani;54;37;Injektirani;140;17;RAY-BAN VISTA;Dioptrijste naočale
0RX7140;0rx7140;;0RX7140-2000,0RX7140-2001,0RX7140-2012;Default;Eyewear;Crna;;0RX7140;49;2000;RAY-BAN VISTA;165;S;Žene;Phantos;Puni okvir;;Crna;Injektirani;49;44;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7140-S-Crna-2000;0rx7140-s-2000;2000;0RX7140-2000;Default;Eyewear;Crna;crna;0RX7140;49;2000;RAY-BAN VISTA;165;S;Žene;Phantos;Puni okvir;;Crna;Injektirani;49;44;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7140-L-Crna-2000;0rx7140-l-2000;2000;0RX7140-2000;Default;Eyewear;Crna;crna;0RX7140;51;2000;RAY-BAN VISTA;165;L;Žene;Phantos;Puni okvir;;Crna;Injektirani;51;46;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7140-S-Transparentna-2001;0rx7140-s-2001;2001;0RX7140-2001;Default;Eyewear;Transparentna;prozirna;0RX7140;49;2001;RAY-BAN VISTA;165;S;Žene;Phantos;Puni okvir;;Transparentna;Injektirani;49;44;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7140-L-Transparentna-2001;0rx7140-l-2001;2001;0RX7140-2001;Default;Eyewear;Transparentna;prozirna;0RX7140;51;2001;RAY-BAN VISTA;165;L;Žene;Phantos;Puni okvir;;Transparentna;Injektirani;51;46;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7140-L-Havana-2012;0rx7140-l-2012;2012;0RX7140-2012;Default;Eyewear;Havana;smeđa;0RX7140;51;2012;RAY-BAN VISTA;165;L;Žene;Phantos;Puni okvir;;Havana;Injektirani;51;46;Metal;150;20;RAY-BAN VISTA;Dioptrijste naočale
0RX7199;0rx7199;;0RX7199-5204,0RX7199-8062;Default;Eyewear;Crna;;0RX7199;52;5204;RAY-BAN VISTA;175;L;Unisex;Kvadratni;Puni okvir;;Crna;Peek;52;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7199-L-Crna-5204;0rx7199-l-5204;5204;0RX7199-5204;Default;Eyewear;Crna;crna;0RX7199;52;5204;RAY-BAN VISTA;175;L;Unisex;Kvadratni;Puni okvir;;Crna;Peek;52;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7199-L-Zelena-8062;0rx7199-l-8062;8062;0RX7199-8062;Default;Eyewear;Zelena;zelena;0RX7199;52;8062;RAY-BAN VISTA;174;L;Unisex;Kvadratni;Puni okvir;;Zelena;Peek;52;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX7235;0rx7235;;0RX7235-5204,0RX7235-5207,0RX7235-5521,0RX7235-8062;Default;Eyewear;Pijesak crna;;0RX7235;53;5204;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Puni okvir;;Pijesak crna;Peek;53;44;Metal;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX7235-XL-Pijesak-crna-5204;0rx7235-xl-5204;5204;0RX7235-5204;Default;Eyewear;Pijesak crna;crna;0RX7235;53;5204;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Puni okvir;;Pijesak crna;Peek;53;44;Metal;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX7235-XL-Pijesak-plava-5207;0rx7235-xl-5207;5207;0RX7235-5207;Default;Eyewear;Pijesak plava;plava;0RX7235;53;5207;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Puni okvir;;Pijesak plava;Peek;53;44;Metal;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX7235-XL-Pijesak-siva-5521;0rx7235-xl-5521;5521;0RX7235-5521;Default;Eyewear;Pijesak siva;siva;0RX7235;53;5521;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Puni okvir;;Pijesak siva;Peek;53;44;Metal;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX7235-XL-Pijesak-zelena-8062;0rx7235-xl-8062;8062;0RX7235-8062;Default;Eyewear;Pijesak zelena;zelena;0RX7235;53;8062;RAY-BAN VISTA;174;XL;Unisex;Nepravilan;Puni okvir;;Pijesak zelena;Peek;53;44;Metal;145;19;RAY-BAN VISTA;Dioptrijste naočale
